Name,Description,Department,Total Size,Real Size,Host Key,Named Availability,Weeks,Tags,User Text 3
KHA107_L_S2_I,Psychology in Action,"Medicine, School of",70,0,KHA107_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA107_H_S2_I,Psychology in Action,"Medicine, School of",175,0,KHA107_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA106_L_S1_I,"Brain, Mind and Emotion","Medicine, School of",60,0,KHA106_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA106_H_S1_I,"Brain, Mind and Emotion","Medicine, School of",190,0,KHA106_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
CXA703_L_S5_I,Guided Research C,School of Health Sciences,0,0,CXA703_L_SPR_I,2017_SPR01_Spring school,43-52,Not Running,School of Health Sciences
CXA703_L_S2_I,Guided Research C,School of Health Sciences,10,0,CXA703_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA703_L_S1_I,Guided Research C,School of Health Sciences,4,0,CXA703_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
CXA702_L_S5_I,Guided Research B,School of Health Sciences,0,0,CXA702_L_SPR_I,2017_SPR01_Spring school,43-52,Not Running,School of Health Sciences
CXA702_L_S2_I,Guided Research B,School of Health Sciences,10,0,CXA702_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA702_L_S1_I,Guided Research B,School of Health Sciences,5,0,CXA702_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
CXA701_L_S5_I,Guided Research A,School of Health Sciences,0,0,CXA701_L_SPR_I,2017_SPR01_Spring school,43-52,Not Running,School of Health Sciences
CXA701_L_S2_I,Guided Research A,School of Health Sciences,10,0,CXA701_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA701_L_S1_I,Guided Research A,School of Health Sciences,5,0,CXA701_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
CXA653_L_S2_I,Clinical Chemistry 3 (Endocrinology),School of Health Sciences,1,0,CXA653_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA652_L_S1_I,Clinical Chemistry 2,School of Health Sciences,6,0,CXA652_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA643_L_S2_I,Medical Microbiology B,School of Health Sciences,10,0,CXA643_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA642_L_S1_I,Medical Microbiology A,School of Health Sciences,6,0,CXA642_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA633_L_S2_I,Transfusion Science,School of Health Sciences,2,0,CXA633_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA632_L_S1_I,Haematology 2,School of Health Sciences,4,0,CXA632_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA602_L_S1_I,Quality Assurance & Data Handling,School of Health Sciences,10,0,CXA602_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
CXA447_L_S1_I,Clinical Exercise Practicum 3,School of Health Sciences,8,0,CXA447_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA446_L_S3_I,Clinical Exercise Practicum 2,School of Health Sciences,0,0,CXA446_L_SUM_I,2017_SUMLT_Summer school,1-Aug,Not Running,School of Health Sciences
CXA446_L_S1_I,Clinical Exercise Practicum 2,School of Health Sciences,8,0,CXA446_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA445_L_S1_I,Evidence Based Research in Allied Health,School of Health Sciences,8,0,CXA445_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA444_L_S1_I,"Communication, Case Management and Ethics in Exercise therapy",School of Health Sciences,7,0,CXA444_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
CXA443_L_S2_I,Clinical Exercise Practicum 1,School of Health Sciences,15,0,CXA443_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA442_L_S2_I,Musculoskeletal & Neuromuscular Rehabilitation,School of Health Sciences,15,0,CXA442_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA441_L_S1_I,Counselling theory and skills for Allied Health,School of Health Sciences,10,0,CXA441_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
CXA438_L_S1_I,Clinical Exercise Physiology,School of Health Sciences,30,0,CXA438_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA423_L_S3_I,Honours Research 4,School of Health Sciences,2,0,CXA423_L_SUM_I,2017_SUMLT_Summer school,1-Aug,Not Running,School of Health Sciences
CXA423_L_S2_I,Honours Research 4,School of Health Sciences,5,0,CXA423_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA423_L_S1_I,Honours Research 4,School of Health Sciences,5,0,CXA423_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
CXA422_L_S3_I,Honours Research 3,School of Health Sciences,0,0,CXA422_L_SUM_I,2017_SUMLT_Summer school,1-Aug,Not Running,School of Health Sciences
CXA422_L_S2_I,Honours Research 3,School of Health Sciences,2,0,CXA422_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA422_L_S1_I,Honours Research 3,School of Health Sciences,5,0,CXA422_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
CXA421_L_S3_I,Honours Research 2,School of Health Sciences,0,0,CXA421_L_SUM_I,2017_SUMLT_Summer school,1-Aug,Not Running,School of Health Sciences
CXA421_L_S2_I,Honours Research 2,School of Health Sciences,4,0,CXA421_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA421_L_S1_I,Honours Research 2,School of Health Sciences,1,0,CXA421_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
CXA420_L_S3_I,Honours Research 1,School of Health Sciences,0,0,CXA420_L_SUM_I,2017_SUMLT_Summer school,1-Aug,Not Running,School of Health Sciences
CXA420_L_S2_I,Honours Research 1,School of Health Sciences,4,0,CXA420_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA420_L_S1_I,Honours Research 1,School of Health Sciences,5,0,CXA420_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
CXA404_L_S3_I,Practicum in Exercise Science 1,School of Health Sciences,0,0,CXA404_L_SUM_I,2017_SUMLT_Summer school,1-Aug,Not Running,School of Health Sciences
CXA404_L_S1_I,Practicum in Exercise Science 1,School of Health Sciences,20,0,CXA404_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA403_L_S1_I,Directed Study in Exercise,School of Health Sciences,20,0,CXA403_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA402_L_S2_I,Injury Prevention & Management,School of Health Sciences,25,0,CXA402_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA401_L_S2_I,Medical Laboratory Practice,School of Health Sciences,11,0,CXA401_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA401_L_S1_I,Medical Laboratory Practice,School of Health Sciences,12,0,CXA401_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
CXA386_L_S2_I,Research and Topics in Health Sciences,School of Health Sciences,60,0,CXA386_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA385_L_S1_I,Nutrition and Disease,School of Health Sciences,60,0,CXA385_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA353_L_S2_I,Clinical Chemistry 3 (Endocrinology),School of Health Sciences,24,0,CXA353_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA352_L_S1_I,Clinical Chemistry 2,School of Health Sciences,24,0,CXA352_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA343_L_S2_I,Medical Microbiology B,School of Health Sciences,20,0,CXA343_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA342_L_S1_I,Medical Microbiology A,School of Health Sciences,24,0,CXA342_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA333_L_S2_I,Transfusion Science,School of Health Sciences,18,0,CXA333_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA332_L_S1_I,Haematology 2,School of Health Sciences,20,0,CXA332_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA321_L_S1_I,Immunology,School of Health Sciences,40,0,CXA321_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA314_L_S1_I,Assessment and Prescription for Strength and Conditioning,School of Health Sciences,30,0,CXA314_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA313_L_S1_I,Health Promotion: Principles and Planning,School of Health Sciences,28,0,CXA313_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA310_R_S2_I,Bioscience 2,School of Health Sciences,85,0,CXA310_R_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA310_H_S2_I,Bioscience 2,School of Health Sciences,25,0,CXA310_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA308_L_S2_I,Exercise Assessment and Prescription,School of Health Sciences,25,0,CXA308_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA307_L_S2_I,Applied Anatomy and Neurosciences,School of Health Sciences,30,0,CXA307_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA304_L_S1_I,Scientific Principles of Strength & Conditioning,School of Health Sciences,20,0,CXA304_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA303_L_S2_I,"Public, Community and Environmental Health",School of Health Sciences,20,0,CXA303_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA302_L_S2_I,"Environmental Microbiology, Infection Control & Regulations",School of Health Sciences,0,0,CXA302_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA301_L_S2_I,Biomechanics,School of Health Sciences,44,0,CXA301_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA300_L_S1_I,Human Molecular Biology,School of Health Sciences,14,0,CXA300_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA273_L_S1_I,Anatomy and Physiology 2,School of Health Sciences,200,0,CXA273_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA262_L_S2_I,Cell and Molecular Biochemistry,School of Health Sciences,30,0,CXA262_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA261_L_S1_I,Metabolic Biochemistry,School of Health Sciences,80,0,CXA261_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA251_L_S2_I,Clinical Chemistry 1,School of Health Sciences,26,0,CXA251_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA241_L_S2_I,General and Medical Microbiology,School of Health Sciences,35,0,CXA241_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA237_L_S2_I,Exercise Physiology & Nutrition,School of Health Sciences,120,0,CXA237_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA232_L_S1_I,Kinesiology,School of Health Sciences,60,0,CXA232_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA231_L_S2_I,Haematology 1,School of Health Sciences,25,0,CXA231_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA222_L_S1_I,Histopathology,School of Health Sciences,30,0,CXA222_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA214_L_S2_I,Community and Public Health Nutrition,School of Health Sciences,25,0,CXA214_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA213_W_S1_I,Health Promotion: Principles and Planning,School of Health Sciences,0,0,CXA213_W_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
CXA213_R_S1_I,Health Promotion: Principles and Planning,School of Health Sciences,5,0,CXA213_R_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA213_L_S1_I,Health Promotion: Principles and Planning,School of Health Sciences,52,0,CXA213_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA213_H_S1_I,Health Promotion: Principles and Planning,School of Health Sciences,0,0,CXA213_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
CXA212_L_S1_I,Pathology of Common Diseases,School of Health Sciences,60,0,CXA212_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA211_L_S1_I,Immunology (MLS),School of Health Sciences,30,0,CXA211_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA210_W_S2_I,Physical Activity and Health,School of Health Sciences,0,0,CXA210_W_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA210_R_S2_I,Physical Activity and Health,School of Health Sciences,20,0,CXA210_R_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA210_L_S2_I,Physical Activity and Health,School of Health Sciences,60,0,CXA210_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA210_H_S2_I,Physical Activity and Health,School of Health Sciences,0,0,CXA210_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA209_L_S2_I,Nutrition Through the Lifecycle,School of Health Sciences,30,0,CXA209_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA208_L_S1_I,Human Nutrition,School of Health Sciences,40,0,CXA208_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA207_L_S2_I,Bioscience for Nursing (Advanced Standing) 2,School of Health Sciences,25,0,CXA207_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA206_L_S1_I,Bioscience for Nursing (Advanced Standing) 1,School of Health Sciences,30,0,CXA206_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA205_W_S2_I,Bioscience 2,School of Health Sciences,0,0,CXA205_W_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA205_V_S2_I,Bioscience 2,School of Health Sciences,64,0,CXA205_V_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA205_R_S2_I,Bioscience 2,School of Health Sciences,0,0,CXA205_R_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA205_L_S2_I,Bioscience 2,School of Health Sciences,200,0,CXA205_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA205_H_S2_I,Bioscience 2,School of Health Sciences,81,0,CXA205_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA204_W_S1_I,Bioscience 1,School of Health Sciences,0,0,CXA204_W_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
CXA204_V_S1_I,Bioscience 1,School of Health Sciences,72,0,CXA204_V_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA204_R_S1_I,Bioscience 1,School of Health Sciences,190,0,CXA204_R_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA204_L_S1_I,Bioscience 1,School of Health Sciences,260,0,CXA204_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA204_H_S1_I,Bioscience 1,School of Health Sciences,120,0,CXA204_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA201_L_S2_I,Medical Radiation Science,School of Health Sciences,7,0,CXA201_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA176_L_S2_I,Microbiology and Health,School of Health Sciences,100,0,CXA176_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA172_L_S2_I,Anatomy and Physiology 1,School of Health Sciences,185,0,CXA172_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA171_L_S2_I,Cell Biology and Function,School of Health Sciences,40,0,CXA171_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA171_L_S1_I,Cell Biology and Function,School of Health Sciences,125,0,CXA171_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA161_L_S1_I,Introduction to Human Biology,School of Health Sciences,100,0,CXA161_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA125_L_S2_I,Introductory Biochemistry,School of Health Sciences,90,0,CXA125_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA121_L_S2_I,Histology,School of Health Sciences,40,0,CXA121_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA115_L_S1_I,Physics for Health Sciences,School of Health Sciences,32,0,CXA115_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA107_V_S2_I,Fundamentals of Bioscience,School of Health Sciences,0,0,CXA107_V_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA107_R_S2_I,Fundamentals of Bioscience,School of Health Sciences,100,0,CXA107_R_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA107_L_S2_I,Fundamentals of Bioscience,School of Health Sciences,20,0,CXA107_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA107_H_S2_I,Fundamentals of Bioscience,School of Health Sciences,50,0,CXA107_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA104_L_S1_I,Foundations of Human Bioscience,School of Health Sciences,50,0,CXA104_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA103_W_S1_I,Health: Determinants and Analysis,School of Health Sciences,20,0,CXA103_W_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA103_R_S1_I,Health: Determinants and Analysis,School of Health Sciences,120,0,CXA103_R_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA103_L_S1_I,Health: Determinants and Analysis,School of Health Sciences,120,0,CXA103_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA103_H_S1_I,Health: Determinants and Analysis,School of Health Sciences,20,0,CXA103_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA102_L_S2_I,Introduction to Health Sciences,School of Health Sciences,120,0,CXA102_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
CXA101_L_S1_I,Introduction to Medical Laboratory Sciences,School of Health Sciences,60,0,CXA101_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA100_L_S2_I,Food Studies,School of Health Sciences,50,0,CXA100_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA100_L_S1_I,Food Studies,School of Health Sciences,170,0,CXA100_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
CXA002_V_S2_I,Foundations of Human Bioscience,School of Health Sciences,0,0,CXA002_V_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA002_R_S2_I,Foundations of Human Bioscience,School of Health Sciences,50,0,CXA002_R_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA002_L_S2_I,Foundations of Human Bioscience,School of Health Sciences,0,0,CXA002_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CXA002_H_S2_I,Foundations of Human Bioscience,School of Health Sciences,0,0,CXA002_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
CSA499_H_S3_I,Short Term Exchange - Health,School of Health Sciences,0,0,CSA499_H_SUM_I,2017_5TP04_5 Week Session Feb B,6-Oct,Not Running,School of Health Sciences
CSA479_H_S2_I,Biotechnology Honours in Pharmacology D,"Medicine, School of",5,0,CSA479_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
CSA478_H_S1_I,Biotechnology Honours in Pharmacology C,"Medicine, School of",5,0,CSA478_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
CSA477_H_S2_I,Biotechnology Honours in Pharmacology B,"Medicine, School of",5,0,CSA477_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
CSA476_H_S2_I,Biotechnology Honours in Pharmacology A,"Medicine, School of",5,0,CSA476_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
CSA476_H_S1_I,Biotechnology Honours in Pharmacology A,"Medicine, School of",5,0,CSA476_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
CSA457_H_S1_I,Pharmacy Skills in Practice 4A,"Medicine, School of",52,0,CSA457_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
CSA448_H_S2_I,Research Thesis E,"Medicine, School of",15,0,CSA448_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
CSA448_H_S1_I,Research Thesis E,"Medicine, School of",0,0,CSA448_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
CSA447_H_S2_I,Research Thesis D,"Medicine, School of",15,0,CSA447_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
CSA447_H_S1_I,Research Thesis D,"Medicine, School of",0,0,CSA447_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
CSA446_H_S5_I,Research Thesis C,"Medicine, School of",0,0,CSA446_H_SPR_I,2017_SPR01_Spring school,43-52,Not Running,School of Medicine
CSA446_H_S4_I,Research Thesis C,"Medicine, School of",0,0,CSA446_H_WIN_I,2017_WIN02_Winter school,23-28,Not Running,School of Medicine
CSA446_H_S3_I,Research Thesis C,"Medicine, School of",0,0,CSA446_H_SUM_I,2017_SUMLT_Summer school,1-Aug,Not Running,School of Medicine
CSA446_H_S2_I,Research Thesis C,"Medicine, School of",15,0,CSA446_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
CSA446_H_S1_I,Research Thesis C,"Medicine, School of",5,0,CSA446_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
CSA445_H_S2_I,Research Thesis B,"Medicine, School of",15,0,CSA445_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
CSA445_H_S1_I,Research Thesis B,"Medicine, School of",5,0,CSA445_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
CSA444_H_S2_I,Research Thesis A,"Medicine, School of",0,0,CSA444_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
CSA444_H_S1_I,Research Thesis A,"Medicine, School of",9,0,CSA444_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
CSA441_H_S5_I,Research Thesis,"Medicine, School of",0,0,CSA441_H_SPR_I,2017_SPR01_Spring school,43-52,Not Running,School of Medicine
CSA441_H_S4_I,Research Thesis,"Medicine, School of",0,0,CSA441_H_WIN_I,2017_WIN02_Winter school,23-28,Not Running,School of Medicine
CSA441_H_S3_I,Research Thesis,"Medicine, School of",0,0,CSA441_H_SUM_I,2017_SUMLT_Summer school,1-Aug,Not Running,School of Medicine
CSA441_H_S2_I,Research Thesis,"Medicine, School of",5,0,CSA441_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
CSA441_H_S1_I,Research Thesis,"Medicine, School of",5,0,CSA441_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
CSA434_H_S2_I,Pharmacy Honours D,"Medicine, School of",5,0,CSA434_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
CSA434_H_S1_I,Pharmacy Honours D,"Medicine, School of",5,0,CSA434_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
CSA433_H_S2_I,Pharmacy Honours C,"Medicine, School of",5,0,CSA433_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
CSA433_H_S1_I,Pharmacy Honours C,"Medicine, School of",5,0,CSA433_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
CSA432_H_S2_I,Pharmacy Honours B,"Medicine, School of",5,0,CSA432_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
CSA432_H_S1_I,Pharmacy Honours B,"Medicine, School of",5,0,CSA432_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
CSA431_H_S2_I,Pharmacy Honours A,"Medicine, School of",5,0,CSA431_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
CSA431_H_S1_I,Pharmacy Honours A,"Medicine, School of",5,0,CSA431_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
CSA430_H_S2_I,Pharmacy Practice,"Medicine, School of",60,0,CSA430_H_SEM2_I,2017_SEM02_Semester 2,29-42,SWS,School of Medicine
CSA421_H_S5_I,Research in Pharmaceutical Sciences,"Medicine, School of",0,0,CSA421_H_SPR_I,2017_SPR01_Spring school,43-52,Not Running,School of Medicine
CSA421_H_S4_I,Research in Pharmaceutical Sciences,"Medicine, School of",0,0,CSA421_H_WIN_I,2017_WIN02_Winter school,23-28,Not Running,School of Medicine
CSA421_H_S3_I,Research in Pharmaceutical Sciences,"Medicine, School of",0,0,CSA421_H_SUM_I,2017_SUMLT_Summer school,1-Aug,Not Running,School of Medicine
CSA421_H_S2_I,Research in Pharmaceutical Sciences,"Medicine, School of",0,0,CSA421_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
