Scheduled,Host Key,Module Name,Name,Description,Activity Type Name,Size,Allocated Staff Name,Duration,Scheduled Weeks,Required Location Descriptions,Location Suitabilities,Department_Name,Jointly Taught Parents,Zone Name,When Scheduled,Who Scheduled,Scheduled Days,Scheduled Start Time,Scheduled End Time,Allocated Location Name,Allocated Location Description
Unchecked,#SPLUS63FE28,"HPP201_H_S2_I, HPP301_H_S2_I",HPP201_H_S2_I/Tut/3+HPP301_H_S2_I/Tut/3,Politics and the State (Tut),Tut,20,,01:00,,,"LB-Arts,LE-Computer,LE-Multimedia Projection,LT-TUT/SEM","Social Sciences, School of","HPP201_H_S2_I/Tut/3,HPP301_H_S2_I/Tut/3",Sandy Bay,5/08/2016 10:33,,,,,,
Unchecked,#SPLUSB23AB6,KDA384_L_S3_I,KDA384_L_S3_I/Tut/01,Learning by Making B - Design Project (Tut),Tut,20,,08:00,,IR.ID 103 Studio,LT-STUDIO(D),Architecture and Design,,Inveresk,20/07/2016 10:37,,,,,,
Unchecked,#SPLUSD25AC5,KEA102_H_S2_I,KEA102_H_S2_I/PASS/01,"Earth Resources, Environments and Evolution (PASSTut)",PASSTut,20,,01:00,,SB.Geo237 1st Year Lab,,School of Physical Sciences,,Sandy Bay,2/08/2016 12:19,,,,,,
Unchecked,#SPLUS223E95,KGA517_H_S1_I,KGA517_H_S1_I/LecB/01,Protected Area Planning and Management Systems (Lec),Lec,22,,08:00,,SB.Geo106 Tutorial Room / Video Conf,"LB-Geog/Surv/EarthSci,LT-TUT/SEM",School of Land and Food,,Sandy Bay,4/08/2016 12:30,,,,,,
Unchecked,#SPLUSE0F1A8 004,KGA521_H_S2_I,"KGA521_H_S2_I/Lec/01 <35, 38>",Urban Planning and Design (Lec),Lec,15,,04:00,,,"LB-Geog/Surv/EarthSci,LF-Moveable Furniture,LT-TUT/SEM",School of Land and Food,,Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUSF11BFE,KHA111_H_S5_I,KHA111_H_S5_I/Wks/01,Psychology A (Wks),Wks,25,,06:00,,,"LB-Arts,LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Medicine, School of",,Sandy Bay,20/07/2016 10:37,,,,,,
Unchecked,#SPLUSB88E31,KIT501_H_S2_I,KIT501_H_S2_I/Tut/07,ICT Systems Administration Fundamentals (Tut),Tut,20,,03:00,,SB.Centen372 Networks Mac Lab,"LB-Computing,LT-COMPLAB",School of Engineering and ICT,,Sandy Bay,2/08/2016 15:20,,,,,,
Unchecked,#SPLUSB0A640,KLA210_H_S1_I,KLA210_H_S1_I/Prac/03,Microbiology (Prac),Prac,18,,03:00,,,"LB-LifeSciences,LT-TEACHLAB(W)",School of Land and Food,,Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUS6E7021,KNE251_H_S1_I,KNE251_H_S1_I,Mechanical Engineering 1 (PASSTut),PASSTut,20,,01:00,,,,School of Engineering and ICT,,Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUS83CBAD 001,KRA102_W_S2_I,"KRA102_W_S2_I/Tut/1 <32, 35, 39, 42>",Chemistry 1B (Tut),Tut,5,,01:00,,,LE-Whiteboard / Writable surface,School of Physical Sciences,,Cradle Coast,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS83CBAD 002,KRA102_W_S2_I,"KRA102_W_S2_I/Tut/1 <29-31, 33-34, 37-38, 40-41>",Chemistry 1B (Tut),Tut,5,,01:00,,,LT-COMPLAB,School of Physical Sciences,,Cradle Coast,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS696409,KRA161_L_S1_I,KRA161_L_S1_I/Tut/02 - Computer Lab,Chemistry for Life Sciences (Tut),Tut,18,,01:00,,"NH.V195. PC Lab 1,NH.V196. PC Lab 2",LT-COMPLAB,School of Physical Sciences,,Newnham,2/08/2016 14:20,Enterprise,,,,,
Unchecked,#SPLUSB995BB,LAW669_H_S1_I,LAW669_H_S1_I/Lec/1,Consumer Protection (Lec),Lec,40,,02:00,,,"LB-Law,LE-Computer,LE-Multimedia Projection","Law, Faculty of",,Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUSB995BD,LAW669_H_S1_I,LAW669_H_S1_I/Sem/1,Consumer Protection (Sem),Sem,40,,02:00,,,LF-Moveable Furniture,"Law, Faculty of",,Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUS28A7D0,UPP025_L_S1_I,UPP025_L_S1_I/Lec/A,Introduction to Academic Writing (Lec),Lec,55,,02:00,,NH.X130 Flexible Learning Space,"LE-Computer,LE-Multimedia Projection","Student Experience, Retention and Success",,Newnham,20/07/2016 10:37,,,,,,
Unchecked,#SPLUSDCB53B,XGR501_R_S4_I,XGR501_R_S4_I/Wks/01,Introduction to Higher Degree by Research (Wks),Wks,15,,08:00,,RZ Room 102 Tutorial Room 5,LT-TUT/SEM,"PVC (R), Division of",,Rozelle,5/08/2016 10:33,,,,,,
Unchecked,#SPLUSD8DFE6,XGR502_R_S4_I,XGR502_R_S4_I/Wks/01,Communicating Research (Wks),Wks,15,,08:00,,RZ Room 102 Tutorial Room 5,LT-TUT/SEM,"PVC (R), Division of",,Rozelle,5/08/2016 10:33,,,,,,
